"dataset","method","case_id","service","fault","repeat_no","n_train","n_cal","n_ab","alarm_fraction","detected","auc"
"RE1-OB","PCA","RE1-OB_adservice_cpu_1","adservice","cpu","1",180,120,300,0.993,TRUE,0.998
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_1","adservice","cpu","1",180,120,300,0.17,TRUE,0.672
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_1","adservice","cpu","1",180,120,300,0.993,TRUE,0.999
"RE1-OB","PCA","RE1-OB_adservice_cpu_2","adservice","cpu","2",180,120,300,0,FALSE,0.84
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_2","adservice","cpu","2",180,120,300,0.013,FALSE,0.54
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_2","adservice","cpu","2",180,120,300,0,FALSE,0.689
"RE1-OB","PCA","RE1-OB_adservice_cpu_3","adservice","cpu","3",180,120,300,0.993,TRUE,0.999
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_3","adservice","cpu","3",180,120,300,0,FALSE,0.441
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_3","adservice","cpu","3",180,120,300,0.993,TRUE,0.999
"RE1-OB","PCA","RE1-OB_adservice_cpu_4","adservice","cpu","4",180,120,300,0,FALSE,0.501
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_4","adservice","cpu","4",180,120,300,0.003,FALSE,0.363
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_4","adservice","cpu","4",180,120,300,0,FALSE,0.74
"RE1-OB","PCA","RE1-OB_adservice_cpu_5","adservice","cpu","5",180,120,300,0.94,TRUE,0.972
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_5","adservice","cpu","5",180,120,300,0,FALSE,0.149
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_5","adservice","cpu","5",180,120,300,0,FALSE,0.736
"RE1-OB","PCA","RE1-OB_adservice_delay_1","adservice","delay","1",180,120,300,0,FALSE,0.823
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_1","adservice","delay","1",180,120,300,0.187,TRUE,0.771
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_1","adservice","delay","1",180,120,300,0,FALSE,0.899
"RE1-OB","PCA","RE1-OB_adservice_delay_2","adservice","delay","2",180,120,300,0.98,TRUE,0.999
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_2","adservice","delay","2",180,120,300,0,FALSE,0.532
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_2","adservice","delay","2",180,120,300,0.963,TRUE,0.996
"RE1-OB","PCA","RE1-OB_adservice_delay_3","adservice","delay","3",180,120,300,0.967,TRUE,0.985
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_3","adservice","delay","3",180,120,300,0.007,FALSE,0.711
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_3","adservice","delay","3",180,120,300,0.96,TRUE,0.98
"RE1-OB","PCA","RE1-OB_adservice_delay_4","adservice","delay","4",180,120,300,0,FALSE,0.83
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_4","adservice","delay","4",180,120,300,0.007,FALSE,0.348
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_4","adservice","delay","4",180,120,300,0,FALSE,0.747
"RE1-OB","PCA","RE1-OB_adservice_delay_5","adservice","delay","5",180,120,300,0.977,TRUE,0.998
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_5","adservice","delay","5",180,120,300,0.25,TRUE,0.846
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_5","adservice","delay","5",180,120,300,0.96,TRUE,0.997
"RE1-OB","PCA","RE1-OB_adservice_disk_1","adservice","disk","1",180,120,300,0.933,TRUE,0.969
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_1","adservice","disk","1",180,120,300,0.247,TRUE,0.925
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_1","adservice","disk","1",180,120,300,0.95,TRUE,0.993
"RE1-OB","PCA","RE1-OB_adservice_disk_2","adservice","disk","2",180,120,300,0.99,TRUE,0.991
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_2","adservice","disk","2",180,120,300,0.09,FALSE,0.832
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_2","adservice","disk","2",180,120,300,0.99,TRUE,0.99
"RE1-OB","PCA","RE1-OB_adservice_disk_3","adservice","disk","3",180,120,300,0.877,TRUE,0.988
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_3","adservice","disk","3",180,120,300,0,FALSE,0.436
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_3","adservice","disk","3",180,120,300,0,FALSE,0.965
"RE1-OB","PCA","RE1-OB_adservice_disk_4","adservice","disk","4",180,120,300,0.97,TRUE,0.992
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_4","adservice","disk","4",180,120,300,0.207,TRUE,0.905
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_4","adservice","disk","4",180,120,300,0.97,TRUE,0.994
"RE1-OB","PCA","RE1-OB_adservice_disk_5","adservice","disk","5",180,120,300,0.933,TRUE,0.957
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_5","adservice","disk","5",180,120,300,0.057,FALSE,0.76
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_5","adservice","disk","5",180,120,300,0.933,TRUE,0.941
"RE1-OB","PCA","RE1-OB_adservice_mem_1","adservice","mem","1",180,120,300,0.947,TRUE,0.977
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_1","adservice","mem","1",180,120,300,0.23,TRUE,0.883
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_1","adservice","mem","1",180,120,300,0.947,TRUE,0.971
"RE1-OB","PCA","RE1-OB_adservice_mem_2","adservice","mem","2",180,120,300,0.963,TRUE,0.984
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_2","adservice","mem","2",180,120,300,0.127,TRUE,0.758
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_2","adservice","mem","2",180,120,300,0.963,TRUE,0.983
"RE1-OB","PCA","RE1-OB_adservice_mem_3","adservice","mem","3",180,120,300,0,FALSE,0.758
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_3","adservice","mem","3",180,120,300,0.007,FALSE,0.564
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_3","adservice","mem","3",180,120,300,0,FALSE,0.821
"RE1-OB","PCA","RE1-OB_adservice_mem_4","adservice","mem","4",180,120,300,0.993,TRUE,1
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_4","adservice","mem","4",180,120,300,0.36,TRUE,0.884
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_4","adservice","mem","4",180,120,300,0.96,TRUE,0.995
"RE1-OB","PCA","RE1-OB_adservice_mem_5","adservice","mem","5",180,120,300,0.97,TRUE,0.998
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_5","adservice","mem","5",180,120,300,0.013,FALSE,0.63
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_5","adservice","mem","5",180,120,300,0.97,TRUE,0.999
"RE1-OB","PCA","RE1-OB_cartservice_cpu_1","cartservice","cpu","1",180,120,300,0.967,TRUE,0.994
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_1","cartservice","cpu","1",180,120,300,0.023,FALSE,0.591
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_1","cartservice","cpu","1",180,120,300,0.967,TRUE,0.994
"RE1-OB","PCA","RE1-OB_cartservice_cpu_2","cartservice","cpu","2",180,120,300,0.993,TRUE,1
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_2","cartservice","cpu","2",180,120,300,0.02,FALSE,0.741
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_2","cartservice","cpu","2",180,120,300,0.993,TRUE,1
"RE1-OB","PCA","RE1-OB_cartservice_cpu_3","cartservice","cpu","3",180,120,300,0.087,FALSE,0.813
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_3","cartservice","cpu","3",180,120,300,0.01,FALSE,0.481
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_3","cartservice","cpu","3",180,120,300,0,FALSE,0.896
"RE1-OB","PCA","RE1-OB_cartservice_cpu_4","cartservice","cpu","4",180,120,300,0.953,TRUE,0.992
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_4","cartservice","cpu","4",180,120,300,0.06,FALSE,0.892
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_4","cartservice","cpu","4",180,120,300,0.953,TRUE,0.98
"RE1-OB","PCA","RE1-OB_cartservice_cpu_5","cartservice","cpu","5",180,120,300,1,TRUE,1
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_5","cartservice","cpu","5",180,120,300,0.03,FALSE,0.51
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_5","cartservice","cpu","5",180,120,300,0,FALSE,0.717
"RE1-OB","PCA","RE1-OB_cartservice_delay_1","cartservice","delay","1",180,120,300,0.973,TRUE,0.98
"RE1-OB","Isolation Forest","RE1-OB_cartservice_delay_1","cartservice","delay","1",180,120,300,0.073,FALSE,0.902
"RE1-OB","OC-SVM","RE1-OB_cartservice_delay_1","cartservice","delay","1",180,120,300,0.973,TRUE,0.988
"RE1-OB","PCA","RE1-OB_cartservice_delay_2","cartservice","delay","2",180,120,300,0.967,TRUE,0.99
"RE1-OB","Isolation Forest","RE1-OB_cartservice_delay_2","cartservice","delay","2",180,120,300,0.793,TRUE,0.954
"RE1-OB","OC-SVM","RE1-OB_cartservice_delay_2","cartservice","delay","2",180,120,300,0,FALSE,0.838
"RE1-OB","PCA","RE1-OB_cartservice_delay_3","cartservice","delay","3",180,120,300,0.97,TRUE,0.984
"RE1-OB","Isolation Forest","RE1-OB_cartservice_delay_3","cartservice","delay","3",180,120,300,0.587,TRUE,0.953
"RE1-OB","OC-SVM","RE1-OB_cartservice_delay_3","cartservice","delay","3",180,120,300,0.963,TRUE,0.978
"RE1-OB","PCA","RE1-OB_cartservice_delay_4","cartservice","delay","4",180,120,300,0.98,TRUE,0.985
"RE1-OB","Isolation Forest","RE1-OB_cartservice_delay_4","cartservice","delay","4",180,120,300,0.003,FALSE,0.715
"RE1-OB","OC-SVM","RE1-OB_cartservice_delay_4","cartservice","delay","4",180,120,300,0.98,TRUE,0.986
"RE1-OB","PCA","RE1-OB_cartservice_delay_5","cartservice","delay","5",180,120,300,0.953,TRUE,0.97
"RE1-OB","Isolation Forest","RE1-OB_cartservice_delay_5","cartservice","delay","5",180,120,300,0.037,FALSE,0.861
"RE1-OB","OC-SVM","RE1-OB_cartservice_delay_5","cartservice","delay","5",180,120,300,0.953,TRUE,0.968
"RE1-OB","PCA","RE1-OB_cartservice_disk_1","cartservice","disk","1",180,120,300,1,TRUE,1
"RE1-OB","Isolation Forest","RE1-OB_cartservice_disk_1","cartservice","disk","1",180,120,300,0.903,TRUE,0.994
"RE1-OB","OC-SVM","RE1-OB_cartservice_disk_1","cartservice","disk","1",180,120,300,1,TRUE,0.992
"RE1-OB","PCA","RE1-OB_cartservice_disk_2","cartservice","disk","2",180,120,300,0.98,TRUE,0.988
"RE1-OB","Isolation Forest","RE1-OB_cartservice_disk_2","cartservice","disk","2",180,120,300,0.697,TRUE,0.938
"RE1-OB","OC-SVM","RE1-OB_cartservice_disk_2","cartservice","disk","2",180,120,300,0.98,TRUE,0.99
"RE1-OB","PCA","RE1-OB_cartservice_disk_3","cartservice","disk","3",180,120,300,0.977,TRUE,0.983
"RE1-OB","Isolation Forest","RE1-OB_cartservice_disk_3","cartservice","disk","3",180,120,300,0,FALSE,0.048
"RE1-OB","OC-SVM","RE1-OB_cartservice_disk_3","cartservice","disk","3",180,120,300,0.977,TRUE,0.98
"RE1-OB","PCA","RE1-OB_cartservice_disk_4","cartservice","disk","4",180,120,300,0.97,TRUE,0.986
"RE1-OB","Isolation Forest","RE1-OB_cartservice_disk_4","cartservice","disk","4",180,120,300,0.873,TRUE,0.962
"RE1-OB","OC-SVM","RE1-OB_cartservice_disk_4","cartservice","disk","4",180,120,300,0.96,TRUE,0.975
"RE1-OB","PCA","RE1-OB_cartservice_disk_5","cartservice","disk","5",180,120,300,0.987,TRUE,0.987
"RE1-OB","Isolation Forest","RE1-OB_cartservice_disk_5","cartservice","disk","5",180,120,300,0.86,TRUE,0.982
"RE1-OB","OC-SVM","RE1-OB_cartservice_disk_5","cartservice","disk","5",180,120,300,0.983,TRUE,0.987
"RE1-OB","PCA","RE1-OB_cartservice_mem_1","cartservice","mem","1",180,120,300,0.977,TRUE,0.995
"RE1-OB","Isolation Forest","RE1-OB_cartservice_mem_1","cartservice","mem","1",180,120,300,0.65,TRUE,0.963
"RE1-OB","OC-SVM","RE1-OB_cartservice_mem_1","cartservice","mem","1",180,120,300,0,FALSE,0.926
"RE1-OB","PCA","RE1-OB_cartservice_mem_2","cartservice","mem","2",180,120,300,0.96,TRUE,0.975
"RE1-OB","Isolation Forest","RE1-OB_cartservice_mem_2","cartservice","mem","2",180,120,300,0.05,FALSE,0.529
"RE1-OB","OC-SVM","RE1-OB_cartservice_mem_2","cartservice","mem","2",180,120,300,0.96,TRUE,0.971
"RE1-OB","PCA","RE1-OB_cartservice_mem_3","cartservice","mem","3",180,120,300,0.047,FALSE,0.876
"RE1-OB","Isolation Forest","RE1-OB_cartservice_mem_3","cartservice","mem","3",180,120,300,0.26,TRUE,0.908
"RE1-OB","OC-SVM","RE1-OB_cartservice_mem_3","cartservice","mem","3",180,120,300,0,FALSE,0.928
"RE1-OB","PCA","RE1-OB_cartservice_mem_4","cartservice","mem","4",180,120,300,0.99,TRUE,0.993
"RE1-OB","Isolation Forest","RE1-OB_cartservice_mem_4","cartservice","mem","4",180,120,300,0.1,TRUE,0.413
"RE1-OB","OC-SVM","RE1-OB_cartservice_mem_4","cartservice","mem","4",180,120,300,0.99,TRUE,0.992
"RE1-OB","PCA","RE1-OB_cartservice_mem_5","cartservice","mem","5",180,120,300,0.987,TRUE,0.996
"RE1-OB","Isolation Forest","RE1-OB_cartservice_mem_5","cartservice","mem","5",180,120,300,0.427,TRUE,0.947
"RE1-OB","OC-SVM","RE1-OB_cartservice_mem_5","cartservice","mem","5",180,120,300,0,FALSE,0.952
"RE1-OB","PCA","RE1-OB_checkoutservice_cpu_1","checkoutservice","cpu","1",180,120,300,0.963,TRUE,0.978
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_cpu_1","checkoutservice","cpu","1",180,120,300,0.007,FALSE,0.211
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_cpu_1","checkoutservice","cpu","1",180,120,300,0,FALSE,0.776
"RE1-OB","PCA","RE1-OB_checkoutservice_cpu_2","checkoutservice","cpu","2",180,120,300,0.933,TRUE,0.975
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_cpu_2","checkoutservice","cpu","2",180,120,300,0.007,FALSE,0.278
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_cpu_2","checkoutservice","cpu","2",180,120,300,0.933,TRUE,0.98
"RE1-OB","PCA","RE1-OB_checkoutservice_cpu_3","checkoutservice","cpu","3",180,120,300,0.933,TRUE,0.943
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_cpu_3","checkoutservice","cpu","3",180,120,300,0.01,FALSE,0.263
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_cpu_3","checkoutservice","cpu","3",180,120,300,0,FALSE,0.766
"RE1-OB","PCA","RE1-OB_checkoutservice_cpu_4","checkoutservice","cpu","4",180,120,300,0.337,TRUE,0.903
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_cpu_4","checkoutservice","cpu","4",180,120,300,0.01,FALSE,0.47
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_cpu_4","checkoutservice","cpu","4",180,120,300,0,FALSE,0.924
"RE1-OB","PCA","RE1-OB_checkoutservice_cpu_5","checkoutservice","cpu","5",180,120,300,0.973,TRUE,0.986
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_cpu_5","checkoutservice","cpu","5",180,120,300,0,FALSE,0.615
