"dataset","method","case_id","fault","w1_false_alarm","first_alarm_window"
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_1","cpu",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_2","cpu",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_3","cpu",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_4","cpu",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_5","cpu",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_1","delay",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_2","delay",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_3","delay",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_4","delay",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_5","delay",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_1","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_2","disk",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_3","disk",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_4","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_5","disk",FALSE,"W3"
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_1","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_2","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_3","mem",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_4","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_5","mem",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_1","cpu",FALSE,"W6"
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_2","cpu",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_3","cpu",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_4","cpu",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_5","cpu",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_cartservice_delay_1","delay",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_cartservice_delay_2","delay",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_cartservice_delay_3","delay",FALSE,"W2"
