"dataset","method","case_id","fault","W","alarm_fraction","alarmed"
"RE1-OB","PCA","RE1-OB_adservice_cpu_1","cpu",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_cpu_1","cpu",2,0.993,TRUE
"RE1-OB","PCA","RE1-OB_adservice_cpu_1","cpu",3,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_cpu_1","cpu",4,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_cpu_1","cpu",5,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_cpu_1","cpu",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_1","cpu",1,0.02,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_1","cpu",2,0.17,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_1","cpu",3,0.207,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_1","cpu",4,0.233,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_1","cpu",5,0.343,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_1","cpu",6,0.32,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_1","cpu",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_1","cpu",2,0.993,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_1","cpu",3,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_1","cpu",4,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_1","cpu",5,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_1","cpu",6,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_cpu_2","cpu",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_cpu_2","cpu",2,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_cpu_2","cpu",3,0.207,TRUE
"RE1-OB","PCA","RE1-OB_adservice_cpu_2","cpu",4,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_cpu_2","cpu",5,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_cpu_2","cpu",6,0,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_2","cpu",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_2","cpu",2,0.013,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_2","cpu",3,0.01,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_2","cpu",4,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_2","cpu",5,0,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_2","cpu",6,0,FALSE
