case_id,dataset,service,fault,repeat_no,inject_time_unix,n_train,n_cal,n_ab,hcf_detected,hcf_codes,pca_detected,pca_auc,iforest_detected,iforest_auc,ocsvm_detected,ocsvm_auc
RE1-OB_adservice_cpu_1,RE1-OB,adservice,cpu,1,1685202688,180,120,300,TRUE,E01,TRUE,0.998,TRUE,0.672,TRUE,0.999
RE1-OB_adservice_cpu_2,RE1-OB,adservice,cpu,2,1685206967,180,120,300,TRUE,E01,FALSE,0.84,FALSE,0.54,FALSE,0.689
RE1-OB_adservice_cpu_3,RE1-OB,adservice,cpu,3,1685211245,180,120,300,TRUE,E01,TRUE,0.999,FALSE,0.441,TRUE,0.999
RE1-OB_adservice_cpu_4,RE1-OB,adservice,cpu,4,1685229704,180,120,300,TRUE,E01,FALSE,0.501,FALSE,0.363,FALSE,0.74
RE1-OB_adservice_cpu_5,RE1-OB,adservice,cpu,5,1685220134,180,120,300,TRUE,E01,TRUE,0.972,FALSE,0.149,FALSE,0.736
RE1-OB_cartservice_cpu_1,RE1-OB,cartservice,cpu,1,1685251430,180,120,300,TRUE,E01,TRUE,0.994,FALSE,0.591,TRUE,0.994
RE1-OB_cartservice_cpu_2,RE1-OB,cartservice,cpu,2,1685255770,180,120,300,TRUE,E01,TRUE,1,FALSE,0.741,TRUE,1
RE1-OB_cartservice_cpu_3,RE1-OB,cartservice,cpu,3,1685260110,180,120,300,TRUE,E01,FALSE,0.813,FALSE,0.481,FALSE,0.896
RE1-OB_cartservice_cpu_4,RE1-OB,cartservice,cpu,4,1685264450,180,120,300,TRUE,E01,TRUE,0.992,FALSE,0.892,TRUE,0.98
RE1-OB_cartservice_cpu_5,RE1-OB,cartservice,cpu,5,1685268791,180,120,300,TRUE,E01,TRUE,1,FALSE,0.51,FALSE,0.717
RE1-OB_checkoutservice_cpu_1,RE1-OB,checkoutservice,cpu,1,1685294851,180,120,300,TRUE,E01,TRUE,0.978,FALSE,0.211,FALSE,0.776
RE1-OB_checkoutservice_cpu_2,RE1-OB,checkoutservice,cpu,2,1685551922,180,120,300,TRUE,E01,TRUE,0.975,FALSE,0.278,TRUE,0.98
RE1-OB_checkoutservice_cpu_3,RE1-OB,checkoutservice,cpu,3,1685303532,180,120,300,TRUE,E01,TRUE,0.943,FALSE,0.263,FALSE,0.766
RE1-OB_checkoutservice_cpu_4,RE1-OB,checkoutservice,cpu,4,1685556376,180,120,300,TRUE,E01,TRUE,0.903,FALSE,0.47,FALSE,0.924
RE1-OB_checkoutservice_cpu_5,RE1-OB,checkoutservice,cpu,5,1685569563,180,120,300,TRUE,E01,TRUE,0.986,FALSE,0.615,TRUE,0.986
RE1-OB_currencyservice_cpu_1,RE1-OB,currencyservice,cpu,1,1685514134,180,120,300,TRUE,E01,FALSE,0.639,FALSE,0.709,FALSE,0.712
RE1-OB_currencyservice_cpu_2,RE1-OB,currencyservice,cpu,2,1685518566,180,120,300,TRUE,E01,TRUE,0.992,FALSE,0.717,TRUE,0.991
RE1-OB_currencyservice_cpu_3,RE1-OB,currencyservice,cpu,3,1685523009,180,120,300,TRUE,E01,TRUE,0.887,TRUE,0.877,FALSE,0.915
RE1-OB_currencyservice_cpu_4,RE1-OB,currencyservice,cpu,4,1685527349,180,120,300,TRUE,E01,TRUE,0.937,FALSE,0.289,FALSE,0.753
RE1-OB_currencyservice_cpu_5,RE1-OB,currencyservice,cpu,5,1685531776,180,120,300,TRUE,E01,TRUE,0.987,FALSE,0.569,TRUE,0.972
RE1-OB_productcatalogservice_cpu_1,RE1-OB,productcatalogservice,cpu,1,1685364577,180,120,300,TRUE,E01,TRUE,0.995,FALSE,0.325,TRUE,0.991
RE1-OB_productcatalogservice_cpu_2,RE1-OB,productcatalogservice,cpu,2,1685368916,180,120,300,TRUE,E01,FALSE,0.511,FALSE,0.67,FALSE,0.742
RE1-OB_adservice_delay_1,RE1-OB,adservice,delay,1,1692583932,180,120,300,TRUE,E05,FALSE,0.823,TRUE,0.771,FALSE,0.899
RE1-OB_adservice_delay_2,RE1-OB,adservice,delay,2,1692584700,180,120,300,TRUE,E05,TRUE,0.999,FALSE,0.532,TRUE,0.996
RE1-OB_adservice_delay_3,RE1-OB,adservice,delay,3,1692585468,180,120,300,TRUE,E05,TRUE,0.985,FALSE,0.711,TRUE,0.98
RE1-OB_adservice_delay_4,RE1-OB,adservice,delay,4,1692586236,180,120,300,TRUE,E05,FALSE,0.83,FALSE,0.348,FALSE,0.747
RE1-OB_adservice_delay_5,RE1-OB,adservice,delay,5,1692612189,180,120,300,TRUE,E05,TRUE,0.998,TRUE,0.846,TRUE,0.997
RE1-OB_cartservice_delay_1,RE1-OB,cartservice,delay,1,1692628112,180,120,300,TRUE,E05,TRUE,0.98,FALSE,0.902,TRUE,0.988
RE1-OB_cartservice_delay_2,RE1-OB,cartservice,delay,2,1692628881,180,120,300,TRUE,E05,TRUE,0.99,TRUE,0.954,FALSE,0.838
RE1-OB_cartservice_delay_3,RE1-OB,cartservice,delay,3,1692608348,180,120,300,TRUE,E05,TRUE,0.984,TRUE,0.953,TRUE,0.978
RE1-OB_cartservice_delay_4,RE1-OB,cartservice,delay,4,1692621704,180,120,300,TRUE,E05,TRUE,0.985,FALSE,0.715,TRUE,0.986
RE1-OB_cartservice_delay_5,RE1-OB,cartservice,delay,5,1692629647,180,120,300,TRUE,E05,TRUE,0.97,FALSE,0.861,TRUE,0.968
RE1-OB_checkoutservice_delay_1,RE1-OB,checkoutservice,delay,1,1692602972,180,120,300,TRUE,E05,TRUE,0.999,TRUE,0.887,TRUE,0.999
RE1-OB_checkoutservice_delay_2,RE1-OB,checkoutservice,delay,2,1692603740,180,120,300,TRUE,E05,TRUE,0.999,TRUE,0.977,TRUE,0.999
RE1-OB_checkoutservice_delay_3,RE1-OB,checkoutservice,delay,3,1692604507,180,120,300,TRUE,E05,TRUE,0.763,TRUE,0.945,FALSE,0.663
RE1-OB_checkoutservice_delay_4,RE1-OB,checkoutservice,delay,4,1692605275,180,120,300,TRUE,E05,TRUE,0.997,FALSE,0.636,TRUE,0.987
RE1-OB_checkoutservice_delay_5,RE1-OB,checkoutservice,delay,5,1692606042,180,120,300,TRUE,E05,TRUE,0.99,TRUE,0.899,TRUE,0.984
RE1-OB_currencyservice_delay_1,RE1-OB,currencyservice,delay,1,1692576250,180,120,300,TRUE,E05,TRUE,0.961,TRUE,0.928,FALSE,0.907
RE1-OB_currencyservice_delay_2,RE1-OB,currencyservice,delay,2,1692577020,180,120,300,TRUE,E05,TRUE,0.999,TRUE,0.976,FALSE,0.979
RE1-OB_currencyservice_delay_3,RE1-OB,currencyservice,delay,3,1692610652,180,120,300,TRUE,E05,TRUE,0.992,TRUE,0.939,FALSE,0.838
RE1-OB_currencyservice_delay_4,RE1-OB,currencyservice,delay,4,1692611420,180,120,300,TRUE,E05,TRUE,0.99,TRUE,0.987,FALSE,0.629
RE1-OB_currencyservice_delay_5,RE1-OB,currencyservice,delay,5,1692579323,180,120,300,TRUE,E05,TRUE,0.981,TRUE,0.986,TRUE,0.98
RE1-OB_productcatalogservice_delay_1,RE1-OB,productcatalogservice,delay,1,1692589306,180,120,300,TRUE,E05,TRUE,0.873,TRUE,0.993,FALSE,0.916
RE1-OB_productcatalogservice_delay_2,RE1-OB,productcatalogservice,delay,2,1692624019,180,120,300,TRUE,E05,FALSE,0.908,TRUE,0.969,FALSE,0.952
RE1-OB_productcatalogservice_delay_3,RE1-OB,productcatalogservice,delay,3,1692614494,180,120,300,TRUE,E05,TRUE,0.999,TRUE,0.993,TRUE,0.999
RE1-OB_productcatalogservice_delay_4,RE1-OB,productcatalogservice,delay,4,1692706428,180,120,300,TRUE,E05,TRUE,0.982,TRUE,0.986,FALSE,0.852
RE1-OB_productcatalogservice_delay_5,RE1-OB,productcatalogservice,delay,5,1692616042,180,120,300,TRUE,E05,TRUE,0.993,TRUE,0.966,TRUE,0.99
RE1-OB_adservice_disk_1,RE1-OB,adservice,disk,1,1702354817,180,120,300,TRUE,E01,TRUE,0.969,TRUE,0.925,TRUE,0.993
RE1-OB_adservice_disk_2,RE1-OB,adservice,disk,2,1702359042,180,120,300,TRUE,E01,TRUE,0.991,FALSE,0.832,TRUE,0.99
RE1-OB_adservice_disk_3,RE1-OB,adservice,disk,3,1702359817,180,120,300,TRUE,E01,TRUE,0.988,FALSE,0.436,FALSE,0.965
RE1-OB_adservice_disk_4,RE1-OB,adservice,disk,4,1702360589,180,120,300,TRUE,E01,TRUE,0.992,TRUE,0.905,TRUE,0.994
RE1-OB_adservice_disk_5,RE1-OB,adservice,disk,5,1702361360,180,120,300,TRUE,E01,TRUE,0.957,FALSE,0.76,TRUE,0.941
RE1-OB_cartservice_disk_1,RE1-OB,cartservice,disk,1,1702355592,180,120,300,TRUE,E01,TRUE,1,TRUE,0.994,TRUE,0.992
RE1-OB_cartservice_disk_2,RE1-OB,cartservice,disk,2,1702362131,180,120,300,TRUE,E01,TRUE,0.988,TRUE,0.938,TRUE,0.99
RE1-OB_cartservice_disk_3,RE1-OB,cartservice,disk,3,1702362925,180,120,300,TRUE,E01,TRUE,0.983,FALSE,0.048,TRUE,0.98
